Year,Distance,Owner,Fuel,Location,Drive,Type,Price,Brand,Model
2013,88521,2,Petrol,GJ-01,Manual,Hatchback,377000,Hyundai,Grand I10
2017,51075,2,CNG,GJ-10,Manual,Hatchback,545000,Hyundai,Grand I10
2016,58808,2,Petrol,KA-04,Manual,Sedan,709000,Honda,City
2018,31330,2,Petrol,DL-9C,Automatic,Sedan,718000,Honda,Amaze
2018,48679,1,Petrol,GJ-05,Manual,Hatchback,275000,Datsun,Redi Go
2019,31953,1,Petrol,GJ-01,Manual,Hatchback,559000,Hyundai,Grand I10
2021,12944,1,Petrol,DL-3C,Automatic,Hatchback,957000,Renault,Kiger
2016,63284,1,Petrol,KA-01,Manual,Hatchback,496000,Hyundai,Grand I10
2015,93076,1,CNG,MH-14,Manual,Sedan,563000,Honda,City
2017,31244,1,CNG,MH-05,Manual,Hatchback,411000,Maruti,Wagon R 1.0
2021,18543,1,Petrol,HR-20,Manual,Hatchback,547000,Maruti,New Wagon-R
2019,43271,1,Petrol,KA-03,Manual,Hatchback,607000,Maruti,Swift
2015,69946,2,Petrol,DL-12,Manual,Hatchback,396000,Maruti,Swift
2018,29246,1,Petrol,KA-53,Automatic,Hatchback,749000,Hyundai,Elite I20
2020,16411,1,Petrol,HR-20,Manual,Hatchback,391000,Maruti,Alto
2021,14998,1,Petrol,DL-9C,Manual,Hatchback,566000,Maruti,Ignis
2015,81442,1,Petrol,MH-01,Manual,Hatchback,382000,Maruti,Swift
2021,37099,1,Petrol,UP-32,Manual,Hatchback,683800,Hyundai,New I20
2019,70182,1,Petrol,DL-12,Manual,Hatchback,498000,Maruti,Swift
2012,51409,1,Petrol,MH-05,Automatic,Sedan,1271000,Maruti,Swift Dzire
2014,18499,1,Petrol,MH-01,Manual,Hatchback,250000,Datsun,Go
2010,57406,2,Diesel,MH-01,Manual,Sedan,740000,Maruti,Swift Dzire
2020,74089,1,Petrol,KA-04,Manual,Hatchback,418000,Maruti,S Presso
2018,53736,1,Petrol,KA-01,Manual,Hatchback,683000,Volkswagen,Polo
2019,56375,1,Petrol,HR-36,Manual,Sedan,596000,Honda,Amaze
2021,9698,1,Petrol,DL-3C,Automatic,Hatchback,968000,Renault,Kiger
2015,76911,2,Petrol,KA-02,Manual,Hatchback,395000,Honda,Brio
2018,15925,1,Petrol,DL-14,Manual,Hatchback,297000,Datsun,Redi Go
2017,55456,1,Diesel,MH-47,Automatic,Lux SUV,1119000,Mahindra,Xuv500
2019,7492,1,Petrol,HR-26,Manual,SUV,1057000,Kia,Seltos
2017,64350,2,Petrol,MH-02,Automatic,Lux Sedan,968000,Hyundai,New Elantra
2016,71788,1,Diesel,DL-8C,Manual,SUV,522000,Renault,Duster
2013,71493,2,Diesel,TS-08,Automatic,Sedan,967000,Maruti,Swift Dzire
2020,24339,2,Petrol,CH-01,Manual,SUV,1139000,Kia,Seltos
2015,47035,1,Diesel,TN-06,Manual,Hatchback,606000,Maruti,Baleno
2011,85957,2,Diesel,TN-13,Manual,Sedan,692000,Toyota,Etios
2011,63980,2,Petrol,MH-12,Manual,Lux Sedan,325000,Toyota,Corolla Altis
2016,44463,3,Petrol,GJ-05,Manual,SUV,281000,Mahindra,Kuv100
2019,31283,1,Petrol,TS-10,Automatic,Hatchback,815000,Maruti,Baleno
2015,87392,1,CNG,DL-9C,Manual,Sedan,673000,Honda,City
2018,23568,2,Petrol,TS-08,Manual,Hatchback,762000,Hyundai,Elite I20
2015,101760,1,Diesel,MH-14,Manual,Sedan,578000,Hyundai,Verna
2016,56070,2,Diesel,TN-14,Manual,Sedan,703000,Honda,Amaze
2014,91398,3,Petrol,KA-05,Manual,Hatchback,450000,Maruti,Swift
2017,63684,1,Petrol,TN-12,Manual,Hatchback,300000,Maruti,Alto 800
2018,12169,1,Petrol,TN-05,Manual,Hatchback,453000,Datsun,Go Plus
2017,38835,1,Petrol,DL-12,Manual,Lux SUV,1155000,Hyundai,Tucson New
2016,80837,2,Petrol,MH-43,Automatic,SUV,835000,Hyundai,Creta
2015,91435,2,Petrol,DL-1C,Manual,Sedan,517000,Maruti,Ciaz
2015,30927,2,Petrol,DL-6C,Manual,Sedan,582000,Skoda,Rapid
2019,42423,1,Petrol,PB-02,Manual,Sedan,566000,Maruti,Ciaz
2015,82778,1,Petrol,WB-26,Manual,Hatchback,288000,Maruti,Celerio
2018,47726,1,Petrol,MH-14,Automatic,Sedan,678350,Maruti,Dzire
2022,35752,2,Petrol,MH-02,Automatic,Sedan,736000,Hyundai,Aura
2012,102912,1,Petrol,Unknown,Manual,Hatchback,374400,Maruti,Swift
2016,64393,1,Petrol,MH-14,Manual,SUV,544000,Ford,Ecosport
2017,42730,1,Petrol,GJ-03,Manual,Hatchback,400000,Honda,Brio
2017,97445,2,Petrol,TN-02,Automatic,Hatchback,443000,Maruti,Celerio
2014,116132,2,Petrol,Unknown,Manual,Sedan,344000,Maruti,Swift Dzire
2019,82869,1,CNG,DL-5C,Manual,Hatchback,521000,Hyundai,New Santro
2017,90013,2,Petrol,TS-07,Manual,Sedan,602000,Maruti,Dzire
2015,70556,1,CNG,MH-47,Manual,Hatchback,276000,Maruti,Alto 800
2013,82985,2,CNG,GJ-05,Manual,Hatchback,214000,Maruti,Alto 800
2018,45394,1,Diesel,MH-14,Manual,SUV,836000,Maruti,Vitara Brezza
2010,61690,1,Petrol,KA-02,Manual,Hatchback,303000,Hyundai,I20
2019,91391,1,Petrol,UP-32,Manual,Sedan,668000,Maruti,Ciaz
2013,67389,1,Petrol,MH-02,Manual,Hatchback,347000,Hyundai,Grand I10
2017,57632,1,Petrol,KA-50,Manual,Hatchback,362000,Maruti,Alto K10
2018,57744,1,Petrol,KA-01,Manual,Hatchback,492000,Maruti,Celerio X
2018,62125,1,Diesel,MH-05,Automatic,SUV,851000,Maruti,Vitara Brezza
2019,37432,1,Petrol,GJ-16,Manual,Sedan,537000,Hyundai,Xcent
2017,86230,1,CNG,DL-3C,Manual,Hatchback,521000,Maruti,Swift
2011,113536,3,Diesel,KA-01,Manual,Sedan,327000,Hyundai,Verna
2019,31773,1,Petrol,TN-12,Automatic,SUV,908000,Hyundai,Venue
2013,54147,2,Petrol,MH-02,Automatic,Hatchback,383000,Honda,Brio
2017,54760,1,Petrol,DL-12,Manual,Hatchback,540000,Hyundai,Elite I20
2013,92905,2,Petrol,AP-09,Manual,Hatchback,348000,Hyundai,I20
2019,20657,2,Petrol,MH-40,Manual,Hatchback,297000,Maruti,Alto
2017,52407,1,CNG,MH-01,Manual,Hatchback,451000,Maruti,Celerio
2015,72796,1,Petrol,UP-80,Manual,Hatchback,213000,Maruti,Alto 800
2012,91392,1,Petrol,MP-04,Automatic,Sedan,618000,Maruti,Swift Dzire
2019,50252,1,Petrol,DL-10,Manual,Hatchback,613000,Maruti,Baleno
2021,25894,1,Petrol,KL-04,Automatic,SUV,1131000,Tata,Nexon
2017,62810,3,Petrol,MH-17,Manual,Hatchback,334000,Renault,Kwid
2017,42133,1,Petrol,DL-4C,Automatic,Hatchback,496200,Hyundai,Grand I10
2022,11261,2,Petrol,GJ-03,Manual,Hatchback,419000,Maruti,Alto
2018,26566,1,Petrol,KA-01,Manual,SUV,641000,Ford,Freestyle
2018,21563,2,Petrol,HR-26,Manual,Hatchback,405000,Maruti,Wagon R 1.0
2018,28548,1,Petrol,KA-01,Manual,Hatchback,688000,Maruti,Swift
2019,34211,1,Petrol,GJ-03,Automatic,SUV,1788000,Volkswagen,T-Roc
2015,46642,1,Petrol,PB-12,Manual,Hatchback,413000,Maruti,Celerio
2018,56719,1,Diesel,TS-07,Manual,Hatchback,775000,Hyundai,Elite I20
2020,18875,1,Petrol,MH-14,Manual,Hatchback,721000,Maruti,Baleno
2010,27590,2,Petrol,MH-14,Manual,Hatchback,170000,Hyundai,Santro Xing
2019,53268,1,CNG,TS-07,Manual,Hatchback,523000,Maruti,Celerio
2015,104043,1,CNG,GJ-18,Manual,Hatchback,454000,Hyundai,Grand I10
2020,54205,1,Petrol,HR-98,Automatic,Hatchback,675000,Maruti,Baleno
2014,73816,2,Petrol,MH-12,Manual,Sedan,447000,Honda,City
2018,34787,1,Petrol,DL-9C,Manual,Hatchback,517000,Hyundai,Grand I10
